id,enabled,comment,interface,dst_addr,netmask,gateway,prio,ip_type
1,"yes","DNS","lan1","1.0.0.1","255.255.255.255","10.0.0.2",1,"4"
2,"yes","DNS","lan1","1.1.1.1","255.255.255.255","10.0.0.2",1,"4"
3,"yes","DNS","lan1","8.8.4.4","255.255.255.255","10.0.0.2",1,"4"
4,"yes","DNS","lan1","8.8.8.8","255.255.255.255","10.0.0.2",1,"4"
5,"yes","DNS-v6","lan1","2001:4860:4860::8888/128","","fe80::be24:11ff:feec:684d",1,"6"
6,"yes","DNS-v6","lan1","2001:4860:4860::8844/128","","fe80::be24:11ff:feec:684d",1,"6"
7,"yes","DNS-v6","lan1","2606:4700:4700::1111/128","","fe80::be24:11ff:feec:684d",1,"6"
8,"yes","DNS-v6","lan1","2606:4700:4700::1001/128","","fe80::be24:11ff:feec:684d",1,"6"
9,"yes","FakeIP","lan1","28.0.0.0","255.0.0.0","10.0.0.2",1,"4"
10,"yes","FakeIP-v6","lan1","f2b0::/18","","fe80::be24:11ff:feec:684d",1,"6"
11,"yes","GoogleVoice","lan1","216.239.36.0","255.255.255.0","10.0.0.2",3,"4"
12,"yes","Netflix","lan1","23.23.189.144","255.255.255.240","10.0.0.2",3,"4"
13,"yes","Netflix","lan1","23.246.0.0","255.255.192.0","10.0.0.2",3,"4"
14,"yes","Netflix","lan1","34.195.253.0","255.255.255.128","10.0.0.2",3,"4"
15,"yes","Netflix","lan1","37.77.184.0","255.255.248.0","10.0.0.2",3,"4"
16,"yes","Netflix","lan1","38.72.126.0","255.255.255.0","10.0.0.2",3,"4"
17,"yes","Netflix","lan1","45.57.0.0","255.255.128.0","10.0.0.2",3,"4"
18,"yes","Netflix","lan1","52.24.178.0","255.255.255.0","10.0.0.2",3,"4"
19,"yes","Netflix","lan1","52.26.0.0","255.254.0.0","10.0.0.2",3,"4"
20,"yes","Netflix","lan1","52.35.140.0","255.255.255.0","10.0.0.2",3,"4"
21,"yes","Netflix","lan1","54.204.25.0","255.255.255.240","10.0.0.2",3,"4"
22,"yes","Netflix","lan1","54.213.167.0","255.255.255.0","10.0.0.2",3,"4"
23,"yes","Netflix","lan1","64.120.128.0","255.255.128.0","10.0.0.2",3,"4"
24,"yes","Netflix","lan1","66.197.128.0","255.255.128.0","10.0.0.2",3,"4"
25,"yes","Netflix","lan1","69.53.224.0","255.255.224.0","10.0.0.2",3,"4"
26,"yes","Netflix","lan1","103.87.204.0","255.255.252.0","10.0.0.2",3,"4"
27,"yes","Netflix","lan1","108.175.32.0","255.255.240.0","10.0.0.2",3,"4"
28,"yes","Netflix","lan1","185.2.220.0","255.255.252.0","10.0.0.2",3,"4"
29,"yes","Netflix","lan1","185.9.188.0","255.255.252.0","10.0.0.2",3,"4"
30,"yes","Netflix","lan1","192.173.64.0","255.255.192.0","10.0.0.2",3,"4"
31,"yes","Netflix","lan1","198.38.96.0","255.255.224.0","10.0.0.2",3,"4"
32,"yes","Netflix","lan1","198.45.48.0","255.255.240.0","10.0.0.2",3,"4"
33,"yes","Netflix","lan1","203.75.80.0","255.255.255.0","10.0.0.2",3,"4"
34,"yes","Netflix","lan1","203.198.13.0","255.255.255.0","10.0.0.2",3,"4"
35,"yes","Netflix","lan1","203.198.80.0","255.255.255.0","10.0.0.2",3,"4"
36,"yes","Netflix","lan1","207.45.72.0","255.255.252.0","10.0.0.2",3,"4"
37,"yes","Netflix","lan1","208.75.76.0","255.255.252.0","10.0.0.2",3,"4"
38,"yes","Netflix","lan1","210.0.153.0","255.255.255.0","10.0.0.2",3,"4"
39,"yes","Netflix-v6","lan1","2607:fb10::/32","","fe80::be24:11ff:feec:684d",3,"6"
40,"yes","Netflix-v6","lan1","2620:0:ef0::/48","","fe80::be24:11ff:feec:684d",3,"6"
41,"yes","Netflix-v6","lan1","2620:10c:7000::/44","","fe80::be24:11ff:feec:684d",3,"6"
42,"yes","Netflix-v6","lan1","2a00:86c0::/32","","fe80::be24:11ff:feec:684d",3,"6"
43,"yes","Netflix-v6","lan1","2a00:86c0:3a00::/39","","fe80::be24:11ff:feec:684d",3,"6"
44,"yes","Netflix-v6","lan1","2a00:86c0:3c00::/38","","fe80::be24:11ff:feec:684d",3,"6"
45,"yes","Netflix-v6","lan1","2a03:5640::/33","","fe80::be24:11ff:feec:684d",3,"6"
46,"yes","Netflix-v6","lan1","2406:da00::/32","","fe80::be24:11ff:feec:684d",3,"6"
47,"yes","Netflix-v6","lan1","2406:da14::/32","","fe80::be24:11ff:feec:684d",3,"6"
48,"yes","Telegram","lan1","91.108.56.0","255.255.252.0","10.0.0.2",3,"4"
49,"yes","Telegram","lan1","91.108.4.0","255.255.252.0","10.0.0.2",3,"4"
50,"yes","Telegram","lan1","91.108.8.0","255.255.252.0","10.0.0.2",3,"4"
51,"yes","Telegram","lan1","91.108.16.0","255.255.252.0","10.0.0.2",3,"4"
52,"yes","Telegram","lan1","91.108.12.0","255.255.252.0","10.0.0.2",3,"4"
53,"yes","Telegram","lan1","149.154.160.0","255.255.240.0","10.0.0.2",3,"4"
54,"yes","Telegram","lan1","91.105.192.0","255.255.254.0","10.0.0.2",3,"4"
55,"yes","Telegram","lan1","91.108.20.0","255.255.252.0","10.0.0.2",3,"4"
56,"yes","Telegram","lan1","185.76.151.0","255.255.255.0","10.0.0.2",3,"4"
57,"yes","Telegram-v6","lan1","2001:b28:f23d::/48","","fe80::be24:11ff:feec:684d",3,"6"
58,"yes","Telegram-v6","lan1","2001:b28:f23f::/48","","fe80::be24:11ff:feec:684d",3,"6"
59,"yes","Telegram-v6","lan1","2001:67c:4e8::/48","","fe80::be24:11ff:feec:684d",3,"6"
60,"yes","Telegram-v6","lan1","2001:b28:f23c::/48","","fe80::be24:11ff:feec:684d",3,"6"
61,"yes","Telegram-v6","lan1","2a0a:f280::/32","","fe80::be24:11ff:feec:684d",3,"6"
